1. Process Name: System Idle Process, PID: 0, Username: NT AUTHORITY\SYSTEM
203. Process Name: brave.exe, PID: 14228, Username: SHANTANU\lenovo
204. Process Name: SearchHost.exe, PID: 14260, Username: SHANTANU\lenovo
205. Process Name: msedgewebview2.exe, PID: 14368, Username: SHANTANU\lenovo
206. Process Name: UserSSCtrl.exe, PID: 14388, Username: SHANTANU\lenovo
207. Process Name: Code.exe, PID: 14460, Username: SHANTANU\lenovo
208. Process Name: brave.exe, PID: 14500, Username: SHANTANU\lenovo
209. Process Name: Code.exe, PID: 14764, Username: SHANTANU\lenovo
210. Process Name: Code.exe, PID: 15240, Username: SHANTANU\lenovo
211. Process Name: NisSrv.exe, PID: 15344, Username: None
212. Process Name: SecurityHealthSystray.exe, PID: 15644, Username: SHANTANU\lenovo
213. Process Name: svchost.exe, PID: 15836, Username: None
214. Process Name: svchost.exe, PID: 16020, Username: None
215. Process Name: msedgewebview2.exe, PID: 16216, Username: SHANTANU\lenovo
216. Process Name: conhost.exe, PID: 16740, Username: SHANTANU\lenovo
217. Process Name: Code.exe, PID: 16936, Username: SHANTANU\lenovo
218. Process Name: msedgewebview2.exe, PID: 16956, Username: SHANTANU\lenovo
219. Process Name: brave.exe, PID: 16980, Username: SHANTANU\lenovo
220. Process Name: SecurityHealthService.exe, PID: 17104, Username: None
221. Process Name: LenovoVantage-(VantageCoreAddin).exe, PID: 17128, Username: None
222. Process Name: msedgewebview2.exe, PID: 17200, Username: SHANTANU\lenovo
223. Process Name: winlogon.exe, PID: 17552, Username: None
224. Process Name: svchost.exe, PID: 17556, Username: None
225. Process Name: chrome.exe, PID: 17828, Username: SHANTANU\lenovo
226. Process Name: svchost.exe, PID: 17888, Username: None
227. Process Name: StartMenuExperienceHost.exe, PID: 17924, Username: SHANTANU\lenovo
228. Process Name: svchost.exe, PID: 18180, Username: None
229. Process Name: AutoModeDetect.exe, PID: 18260, Username: SHANTANU\lenovo
230. Process Name: ShellExperienceHost.exe, PID: 18320, Username: SHANTANU\lenovo
231. Process Name: brave.exe, PID: 18388, Username: SHANTANU\lenovo
232. Process Name: svchost.exe, PID: 18464, Username: None
233. Process Name: Code.exe, PID: 18652, Username: SHANTANU\lenovo
234. Process Name: pet.exe, PID: 18944, Username: SHANTANU\lenovo
235. Process Name: msedgewebview2.exe, PID: 18952, Username: SHANTANU\lenovo
236. Process Name: OpenConsole.exe, PID: 19028, Username: SHANTANU\lenovo
237. Process Name: Locator.exe, PID: 19216, Username: None
238. Process Name: LenovoVantage-(SmartInteractAddin).exe, PID: 19288, Username: SHANTANU\lenovo
239. Process Name: AdobeCollabSync.exe, PID: 19292, Username: SHANTANU\lenovo
240. Process Name: chrome.exe, PID: 19924, Username: SHANTANU\lenovo
241. Process Name: powershell.exe, PID: 19956, Username: SHANTANU\lenovo
242. Process Name: ApplicationFrameHost.exe, PID: 20072, Username: SHANTANU\lenovo
243. Process Name: dwm.exe, PID: 20288, Username: None
244. Process Name: svchost.exe, PID: 20300, Username: SHANTANU\lenovo
245. Process Name: chrome.exe, PID: 20420, Username: SHANTANU\lenovo
246. Process Name: CodeSetup-stable-e4c7e7b1d6d060162f4aa7f8225271b67ce1df75.exe, PID: 20496, Username: SHANTANU\lenovo
247. Process Name: chrome.exe, PID: 20564, Username: SHANTANU\lenovo
248. Process Name: unsecapp.exe, PID: 20636, Username: SHANTANU\lenovo
249. Process Name: RuntimeBroker.exe, PID: 21152, Username: SHANTANU\lenovo
250. Process Name: chrome.exe, PID: 21200, Username: SHANTANU\lenovo
251. Process Name: SmartSenseController.exe, PID: 21268, Username: SHANTANU\lenovo
252. Process Name: Code.exe, PID: 21564, Username: SHANTANU\lenovo
253. Process Name: chrome.exe, PID: 21604, Username: SHANTANU\lenovo
254. Process Name: svchost.exe, PID: 21804, Username: SHANTANU\lenovo
255. Process Name: svchost.exe, PID: 21824, Username: SHANTANU\lenovo
256. Process Name: backgroundTaskHost.exe, PID: 22080, Username: SHANTANU\lenovo
257. Process Name: cloudcode_cli.exe, PID: 22100, Username: SHANTANU\lenovo
258. Process Name: SystemSettings.exe, PID: 22196, Username: SHANTANU\lenovo
259. Process Name: svchost.exe, PID: 22204, Username: None
260. Process Name: WidgetService.exe, PID: 22336, Username: SHANTANU\lenovo
261. Process Name: ShellHost.exe, PID: 22588, Username: SHANTANU\lenovo
262. Process Name: OfficeClickToRun.exe, PID: 22756, Username: None
263. Process Name: Code.exe, PID: 23096, Username: SHANTANU\lenovo
264. Process Name: svchost.exe, PID: 23276, Username: SHANTANU\lenovo
265. Process Name: LenovoVantage-(SmartScenarioAddin).exe, PID: 23340, Username: SHANTANU\lenovo
